Age,Sexe,Profession,Type_logement,Compte_epargne,Compte_courant,Credit_amount,Duration
46,homme,qualifié,propriétaire,entre 10000 et 30000,,1149,18
20,homme,qualifié,propriétaire,moins de 3000,,1313,9
55,femme,non qualifié,gratuit,moins de 3000,moins de 500,1190,18
74,homme,non qualifié,propriétaire,moins de 3000,,3448,5
29,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,11328,24
36,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,1872,6
33,homme,qualifié,propriétaire,moins de 3000,,2058,24
25,homme,qualifié,propriétaire,moins de 3000,moins de 500,2136,9
25,homme,qualifié,propriétaire,,entre 500 et 3000,1484,12
23,homme,non qualifié,location,plus de 30000,,660,6
37,femme,qualifié,propriétaire,entre 10000 et 30000,,1287,24
65,homme,non qualifié,propriétaire,moins de 3000,moins de 500,3394,42
26,femme,non qualifié,propriétaire,moins de 3000,plus de 3000,609,12
39,homme,hautement qualifié,propriétaire,moins de 3000,,1884,12
30,femme,qualifié,propriétaire,moins de 3000,moins de 500,1620,12
29,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2629,20
41,homme,non qualifié,propriétaire,moins de 3000,,719,12
30,femme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,5096,48
41,femme,non qualifié,location,,,1244,9
34,femme,qualifié,propriétaire,moins de 3000,moins de 500,1842,36
35,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2576,7
55,femme,hautement qualifié,propriétaire,,plus de 3000,1424,12
61,homme,qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,1512,15
30,homme,hautement qualifié,propriétaire,,,11054,36
29,femme,qualifié,propriétaire,moins de 3000,,518,6
34,homme,qualifié,propriétaire,moins de 3000,,2759,12
35,homme,hautement qualifié,propriétaire,moins de 3000,,2670,24
31,homme,qualifié,propriétaire,moins de 3000,moins de 500,4817,24
29,femme,hautement qualifié,propriétaire,moins de 3000,,2679,24
36,homme,qualifié,location,moins de 3000,moins de 500,3905,11
35,homme,qualifié,gratuit,moins de 3000,moins de 500,3386,12
27,femme,qualifié,propriétaire,moins de 3000,moins de 500,343,6
32,homme,qualifié,propriétaire,moins de 3000,,4594,18
37,homme,qualifié,propriétaire,moins de 3000,moins de 500,3620,36
36,homme,qualifié,propriétaire,moins de 3000,moins de 500,1721,15
34,femme,hautement qualifié,location,moins de 3000,entre 500 et 3000,3017,12
38,homme,qualifié,propriétaire,,entre 500 et 3000,754,12
34,homme,qualifié,propriétaire,moins de 3000,,1950,18
63,homme,qualifié,propriétaire,moins de 3000,moins de 500,2924,24
29,femme,non qualifié,location,moins de 3000,moins de 500,1659,24
32,homme,qualifié,propriétaire,,,7238,48
26,femme,qualifié,propriétaire,moins de 3000,,2764,33
35,homme,non qualifié,propriétaire,moins de 3000,,4679,24
22,homme,qualifié,location,entre 3000 et 10000,entre 500 et 3000,3092,24
23,femme,qualifié,propriétaire,moins de 3000,moins de 500,448,6
28,homme,non qualifié,propriétaire,moins de 3000,moins de 500,654,9
36,homme,hautement qualifié,propriétaire,,,1238,6
33,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1245,18
26,femme,qualifié,location,moins de 3000,moins de 500,3114,18
24,homme,qualifié,propriétaire,plus de 30000,,2569,39
25,homme,qualifié,propriétaire,moins de 3000,plus de 3000,5152,24
39,homme,non qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,1037,12
44,homme,qualifié,propriétaire,moins de 3000,moins de 500,1478,15
23,femme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,3573,12
26,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1201,24
57,femme,qualifié,location,entre 10000 et 30000,moins de 500,3622,30
30,femme,qualifié,propriétaire,entre 10000 et 30000,,960,15
44,homme,qualifié,propriétaire,plus de 30000,,1163,12
47,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,1209,6
52,homme,qualifié,propriétaire,moins de 3000,,3077,12
62,femme,qualifié,gratuit,moins de 3000,,3757,24
35,homme,non qualifié,location,entre 3000 et 10000,,1418,10
26,homme,qualifié,location,moins de 3000,,3518,6
26,homme,qualifié,propriétaire,moins de 3000,,1934,12
42,femme,hautement qualifié,gratuit,moins de 3000,entre 500 et 3000,8318,27
27,femme,qualifié,propriétaire,entre 3000 et 10000,,1237,6
38,homme,qualifié,propriétaire,,entre 500 et 3000,368,6
39,homme,non qualifié,location,moins de 3000,moins de 500,2122,12
20,homme,qualifié,propriétaire,,moins de 500,2996,24
29,homme,hautement qualifié,location,entre 3000 et 10000,entre 500 et 3000,9034,36
40,homme,qualifié,propriétaire,moins de 3000,,1585,24
32,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1301,18
28,homme,qualifié,propriétaire,entre 3000 et 10000,plus de 3000,1323,6
27,femme,qualifié,propriétaire,moins de 3000,moins de 500,3123,24
42,homme,qualifié,gratuit,moins de 3000,moins de 500,5493,36
49,homme,qualifié,propriétaire,entre 3000 et 10000,plus de 3000,1126,9
38,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,1216,24
24,femme,qualifié,location,moins de 3000,moins de 500,1207,24
27,homme,non qualifié,propriétaire,,,1309,10
36,homme,qualifié,propriétaire,plus de 30000,plus de 3000,2360,15
34,homme,hautement qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,6850,15
28,homme,qualifié,propriétaire,moins de 3000,,1413,24
45,homme,hautement qualifié,propriétaire,entre 3000 et 10000,,8588,39
26,homme,qualifié,propriétaire,moins de 3000,moins de 500,759,12
32,homme,hautement qualifié,gratuit,moins de 3000,,4686,36
26,homme,qualifié,location,moins de 3000,plus de 3000,2687,15
20,homme,qualifié,location,moins de 3000,entre 500 et 3000,585,12
54,homme,qualifié,propriétaire,,,2255,24
37,femme,qualifié,propriétaire,moins de 3000,moins de 500,609,6
40,homme,non qualifié,propriétaire,moins de 3000,moins de 500,1361,6
23,femme,qualifié,location,moins de 3000,,7127,36
43,homme,qualifié,propriétaire,entre 3000 et 10000,moins de 500,1203,6
36,homme,qualifié,gratuit,,,700,6
44,homme,qualifié,gratuit,moins de 3000,,5507,24
24,femme,qualifié,propriétaire,moins de 3000,moins de 500,3190,18
53,homme,qualifié,gratuit,moins de 3000,moins de 500,7119,48
23,femme,qualifié,propriétaire,entre 3000 et 10000,,3488,24
26,femme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1113,18
30,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,7966,26
31,femme,qualifié,propriétaire,entre 3000 et 10000,,1532,15
42,homme,non qualifié,propriétaire,moins de 3000,,1503,4
31,homme,qualifié,location,moins de 3000,moins de 500,2302,36
41,homme,non qualifié,propriétaire,moins de 3000,moins de 500,662,6
32,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2273,36
28,femme,qualifié,location,entre 3000 et 10000,entre 500 et 3000,2631,15
41,homme,qualifié,location,moins de 3000,,1503,12
26,homme,qualifié,propriétaire,entre 3000 et 10000,,1311,24
25,homme,qualifié,propriétaire,,,3105,24
33,homme,qualifié,location,moins de 3000,plus de 3000,2319,21
75,femme,hautement qualifié,propriétaire,,moins de 500,1374,6
37,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,3612,18
42,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,7763,48
45,femme,non qualifié,propriétaire,moins de 3000,plus de 3000,3049,18
23,homme,qualifié,location,moins de 3000,entre 500 et 3000,1534,12
60,homme,qualifié,gratuit,moins de 3000,,2032,24
31,homme,qualifié,propriétaire,,moins de 500,6350,30
34,homme,non qualifié,propriétaire,moins de 3000,plus de 3000,2864,18
61,homme,non qualifié,propriétaire,moins de 3000,,1255,12
43,homme,qualifié,gratuit,moins de 3000,moins de 500,1333,24
37,femme,qualifié,propriétaire,moins de 3000,,2022,24
32,homme,qualifié,propriétaire,moins de 3000,,1552,24
24,femme,non qualifié,propriétaire,moins de 3000,moins de 500,626,12
35,homme,qualifié,gratuit,,,8858,48
23,femme,qualifié,propriétaire,,,996,12
45,homme,non qualifié,propriétaire,plus de 30000,,1750,6
34,homme,qualifié,propriétaire,moins de 3000,moins de 500,6999,48
27,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,1995,12
67,femme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,1199,9
22,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1331,12
28,femme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,2278,18
29,femme,qualifié,propriétaire,,,5003,21
27,homme,qualifié,propriétaire,moins de 3000,moins de 500,3552,24
31,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1928,18
49,homme,qualifié,gratuit,,moins de 500,2964,24
24,homme,non qualifié,location,moins de 3000,moins de 500,1546,24
29,femme,qualifié,propriétaire,moins de 3000,plus de 3000,683,6
37,homme,qualifié,gratuit,,entre 500 et 3000,12389,36
37,homme,hautement qualifié,propriétaire,,entre 500 et 3000,4712,24
23,femme,qualifié,location,entre 3000 et 10000,entre 500 et 3000,1553,24
36,homme,qualifié,propriétaire,moins de 3000,moins de 500,1372,12
34,homme,qualifié,propriétaire,entre 10000 et 30000,,2578,24
41,homme,qualifié,propriétaire,,entre 500 et 3000,3979,48
31,femme,qualifié,propriétaire,moins de 3000,moins de 500,6758,48
23,femme,non qualifié,location,moins de 3000,moins de 500,3234,24
38,homme,qualifié,propriétaire,moins de 3000,,5954,30
26,femme,hautement qualifié,location,,,5433,24
22,femme,non qualifié,propriétaire,moins de 3000,moins de 500,806,15
27,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1082,9
24,femme,qualifié,propriétaire,moins de 3000,,2788,15
27,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2930,12
33,femme,qualifié,propriétaire,,,1927,24
27,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2820,36
27,homme,non qualifié,propriétaire,moins de 3000,,937,24
30,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1056,18
49,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,3124,12
26,femme,qualifié,location,moins de 3000,,1388,9
33,homme,non qualifié,location,moins de 3000,entre 500 et 3000,2384,36
52,femme,hautement qualifié,gratuit,,,2133,12
20,femme,qualifié,location,moins de 3000,moins de 500,2039,18
36,homme,qualifié,location,moins de 3000,moins de 500,2799,9
21,homme,non qualifié,propriétaire,moins de 3000,moins de 500,1289,12
47,homme,non qualifié,propriétaire,moins de 3000,moins de 500,1217,18
60,homme,qualifié,propriétaire,moins de 3000,moins de 500,2246,12
58,femme,non qualifié,propriétaire,moins de 3000,moins de 500,385,12
42,femme,qualifié,location,,entre 500 et 3000,1965,24
36,femme,non qualifié,propriétaire,entre 10000 et 30000,,1572,21
20,femme,non qualifié,location,moins de 3000,entre 500 et 3000,2718,24
40,homme,hautement qualifié,propriétaire,,moins de 500,1358,24
32,femme,non qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,931,6
23,femme,qualifié,location,moins de 3000,moins de 500,1442,24
36,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,4241,24
31,homme,qualifié,propriétaire,moins de 3000,,2775,18
32,homme,qualifié,gratuit,moins de 3000,,3863,24
45,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2329,7
30,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,918,9
34,femme,non qualifié,gratuit,moins de 3000,entre 500 et 3000,1837,24
28,femme,hautement qualifié,propriétaire,moins de 3000,,3349,36
23,femme,qualifié,propriétaire,moins de 3000,plus de 3000,1275,10
22,homme,qualifié,propriétaire,plus de 30000,moins de 500,2828,24
74,homme,hautement qualifié,propriétaire,moins de 3000,,4526,24
50,femme,qualifié,gratuit,entre 3000 et 10000,entre 500 et 3000,2671,36
33,homme,qualifié,propriétaire,moins de 3000,,2051,18
45,homme,qualifié,gratuit,,,1300,15
22,femme,qualifié,propriétaire,entre 3000 et 10000,moins de 500,741,12
48,femme,non qualifié,gratuit,entre 3000 et 10000,plus de 3000,1240,10
29,femme,qualifié,propriétaire,entre 10000 et 30000,moins de 500,3357,21
22,femme,qualifié,location,moins de 3000,moins de 500,3632,24
22,femme,qualifié,propriétaire,moins de 3000,,1808,18
48,homme,hautement qualifié,propriétaire,,entre 500 et 3000,12204,48
27,homme,hautement qualifié,gratuit,,entre 500 et 3000,9157,60
37,homme,qualifié,location,moins de 3000,moins de 500,3676,6
21,femme,qualifié,location,entre 3000 et 10000,entre 500 et 3000,3441,30
49,homme,non qualifié,propriétaire,moins de 3000,,640,12
27,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,3652,21
32,homme,qualifié,propriétaire,moins de 3000,,1530,18
38,homme,qualifié,propriétaire,,,3914,48
22,femme,qualifié,location,moins de 3000,moins de 500,1858,12
65,homme,qualifié,gratuit,moins de 3000,moins de 500,2600,18
35,homme,qualifié,propriétaire,,,1979,15
41,homme,qualifié,propriétaire,moins de 3000,plus de 3000,2116,6
29,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,1437,9
36,homme,qualifié,propriétaire,plus de 30000,,4042,42
64,homme,non qualifié,propriétaire,,,3832,9
28,femme,qualifié,propriétaire,moins de 3000,moins de 500,3660,24
44,homme,qualifié,propriétaire,moins de 3000,moins de 500,1553,18
23,homme,qualifié,propriétaire,,entre 500 et 3000,1444,15
19,femme,qualifié,location,moins de 3000,,1980,9
25,femme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1355,24
47,homme,qualifié,propriétaire,moins de 3000,,1393,12
28,femme,qualifié,propriétaire,plus de 30000,,1376,24
21,homme,qualifié,propriétaire,moins de 3000,,15653,60
34,femme,qualifié,propriétaire,moins de 3000,,1493,12
26,homme,qualifié,propriétaire,moins de 3000,moins de 500,4370,42
27,femme,non qualifié,propriétaire,moins de 3000,moins de 500,750,18
38,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1308,15
40,homme,hautement qualifié,propriétaire,entre 3000 et 10000,,4623,15
33,homme,qualifié,propriétaire,moins de 3000,,1851,24
32,homme,hautement qualifié,propriétaire,moins de 3000,moins de 500,1880,18
27,homme,qualifié,location,,,7980,36
32,homme,qualifié,propriétaire,moins de 3000,moins de 500,4583,30
26,femme,qualifié,propriétaire,plus de 30000,,1386,12
38,homme,qualifié,gratuit,moins de 3000,plus de 3000,947,24
40,homme,non qualifié,location,moins de 3000,moins de 500,684,12
50,homme,hautement qualifié,gratuit,moins de 3000,moins de 500,7476,48
37,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1922,12
45,homme,qualifié,propriétaire,moins de 3000,moins de 500,2303,24
42,homme,hautement qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,8086,36
35,homme,qualifié,propriétaire,moins de 3000,,2346,24
22,homme,qualifié,gratuit,moins de 3000,moins de 500,3973,14
41,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,888,12
37,homme,qualifié,propriétaire,,,10222,48
28,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,4221,30
41,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,6361,18
23,homme,qualifié,location,moins de 3000,plus de 3000,1297,12
23,homme,qualifié,propriétaire,,moins de 500,900,12
50,homme,qualifié,propriétaire,moins de 3000,,2241,21
35,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,1050,6
50,femme,non qualifié,propriétaire,moins de 3000,plus de 3000,1047,6
27,homme,hautement qualifié,propriétaire,moins de 3000,,6314,24
34,homme,qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,3496,30
27,femme,qualifié,propriétaire,moins de 3000,,3609,48
43,homme,qualifié,location,moins de 3000,moins de 500,4843,12
47,homme,qualifié,propriétaire,moins de 3000,plus de 3000,3017,30
27,homme,non qualifié,propriétaire,entre 3000 et 10000,,4139,24
31,homme,qualifié,propriétaire,entre 3000 et 10000,,5742,36
42,homme,hautement qualifié,propriétaire,moins de 3000,,10366,60
24,homme,qualifié,propriétaire,plus de 30000,,2080,6
41,homme,non qualifié,propriétaire,plus de 30000,,2580,21
26,femme,hautement qualifié,location,moins de 3000,,4530,30
33,homme,qualifié,propriétaire,moins de 3000,,5150,24
24,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,5595,72
64,homme,non qualifié,location,moins de 3000,moins de 500,2384,24
26,femme,qualifié,propriétaire,moins de 3000,,1453,18
56,femme,qualifié,propriétaire,moins de 3000,,1538,6
37,homme,qualifié,gratuit,,,2279,12
33,homme,qualifié,propriétaire,moins de 3000,,1478,15
47,homme,qualifié,gratuit,moins de 3000,,5103,24
31,homme,non qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,9857,36
34,homme,qualifié,gratuit,,,6527,60
27,homme,qualifié,propriétaire,,plus de 3000,1347,10
30,homme,qualifié,gratuit,entre 3000 et 10000,entre 500 et 3000,2862,36
35,homme,qualifié,propriétaire,entre 3000 et 10000,,2753,9
31,homme,qualifié,propriétaire,entre 10000 et 30000,moins de 500,3651,12
25,homme,qualifié,propriétaire,moins de 3000,moins de 500,975,15
25,femme,non qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,2631,15
29,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,2896,24
44,homme,non qualifié,propriétaire,,moins de 500,4716,6
28,homme,qualifié,propriétaire,moins de 3000,,2284,24
50,homme,qualifié,location,plus de 30000,,1236,6
29,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1103,12
38,femme,non qualifié,propriétaire,moins de 3000,,926,12
24,homme,qualifié,propriétaire,moins de 3000,,1800,18
40,homme,hautement qualifié,location,moins de 3000,plus de 3000,1905,15
29,femme,non qualifié,location,plus de 30000,,1123,12
46,homme,qualifié,gratuit,moins de 3000,moins de 500,6331,48
47,femme,qualifié,gratuit,entre 3000 et 10000,plus de 3000,1377,24
41,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,2503,30
32,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,2528,27
35,femme,qualifié,gratuit,plus de 30000,,5324,15
24,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,6560,48
25,femme,qualifié,location,moins de 3000,entre 500 et 3000,2969,12
25,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1206,9
37,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,2118,9
32,homme,hautement qualifié,propriétaire,plus de 30000,,629,18
35,femme,qualifié,gratuit,moins de 3000,moins de 500,1198,6
46,homme,hautement qualifié,propriétaire,,,2476,21
25,homme,non qualifié,propriétaire,moins de 3000,moins de 500,1138,9
27,homme,hautement qualifié,propriétaire,moins de 3000,entre 500 et 3000,14027,60
63,homme,qualifié,propriétaire,,,7596,30
40,homme,qualifié,propriétaire,,,3077,30
32,homme,hautement qualifié,gratuit,moins de 3000,,1505,18
31,homme,qualifié,propriétaire,,plus de 3000,3148,24
31,homme,qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,6148,20
34,homme,hautement qualifié,propriétaire,moins de 3000,plus de 3000,1337,9
24,femme,qualifié,location,entre 10000 et 30000,entre 500 et 3000,433,6
24,femme,non qualifié,propriétaire,moins de 3000,moins de 500,1228,12
66,femme,non qualifié,propriétaire,plus de 30000,entre 500 et 3000,790,9
21,femme,qualifié,location,moins de 3000,,2570,27
41,femme,non qualifié,propriétaire,entre 10000 et 30000,,250,6
47,homme,non qualifié,propriétaire,plus de 30000,,1316,15
25,femme,qualifié,location,moins de 3000,moins de 500,1882,18
59,femme,qualifié,location,moins de 3000,entre 500 et 3000,6416,48
36,homme,qualifié,propriétaire,entre 10000 et 30000,plus de 3000,1275,24
33,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,6403,24
21,homme,non qualifié,location,moins de 3000,moins de 500,1987,24
44,femme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,760,8
28,femme,qualifié,location,entre 10000 et 30000,,2603,24
37,femme,qualifié,propriétaire,moins de 3000,,3380,4
29,femme,non qualifié,propriétaire,,entre 500 et 3000,3990,36
23,femme,hautement qualifié,location,moins de 3000,entre 500 et 3000,11560,24
35,homme,non qualifié,propriétaire,entre 3000 et 10000,moins de 500,4380,18
45,homme,hautement qualifié,propriétaire,moins de 3000,,6761,6
26,femme,non qualifié,location,entre 3000 et 10000,entre 500 et 3000,4280,30
32,homme,qualifié,propriétaire,entre 3000 et 10000,moins de 500,2325,24
23,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1048,10
41,homme,qualifié,propriétaire,,,3160,21
22,homme,qualifié,propriétaire,plus de 30000,moins de 500,2483,24
30,homme,hautement qualifié,propriétaire,,moins de 500,14179,39
28,homme,non qualifié,propriétaire,moins de 3000,moins de 500,1797,13
23,femme,qualifié,location,moins de 3000,moins de 500,2511,15
37,femme,non qualifié,propriétaire,moins de 3000,moins de 500,1274,12
26,homme,qualifié,propriétaire,,,5248,21
33,homme,qualifié,propriétaire,moins de 3000,,3029,15
49,femme,qualifié,propriétaire,moins de 3000,moins de 500,428,6
23,femme,non qualifié,propriétaire,moins de 3000,moins de 500,976,18
23,femme,non qualifié,location,entre 3000 et 10000,entre 500 et 3000,841,12
25,femme,qualifié,propriétaire,moins de 3000,,5771,30
55,homme,qualifié,gratuit,entre 10000 et 30000,,1555,12
32,femme,qualifié,location,,moins de 500,1285,24
74,homme,non qualifié,propriétaire,moins de 3000,plus de 3000,1299,6
39,homme,qualifié,gratuit,,plus de 3000,1271,15
31,homme,qualifié,propriétaire,moins de 3000,,1393,24
35,homme,qualifié,propriétaire,moins de 3000,moins de 500,691,12
59,femme,qualifié,propriétaire,,,5045,15
24,femme,qualifié,location,moins de 3000,moins de 500,2124,18
24,homme,non qualifié,propriétaire,moins de 3000,moins de 500,2214,12
30,homme,hautement qualifié,gratuit,,,12680,21
27,homme,qualifié,propriétaire,entre 3000 et 10000,,2463,24
40,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1155,12
31,homme,non qualifié,propriétaire,moins de 3000,moins de 500,3108,30
31,femme,qualifié,location,,,2901,10
28,homme,qualifié,location,moins de 3000,entre 500 et 3000,3617,12
63,homme,non qualifié,propriétaire,moins de 3000,,1655,12
26,femme,qualifié,location,,moins de 500,2812,24
25,femme,hautement qualifié,propriétaire,moins de 3000,moins de 500,8065,36
36,homme,hautement qualifié,propriétaire,moins de 3000,,3275,21
52,homme,qualifié,propriétaire,entre 3000 et 10000,,2223,24
66,homme,non qualifié,gratuit,plus de 30000,plus de 3000,1480,12
25,femme,qualifié,location,,moins de 500,1371,24
37,homme,qualifié,propriétaire,moins de 3000,,3535,36
25,femme,qualifié,propriétaire,moins de 3000,moins de 500,3509,18
38,homme,hautement qualifié,propriétaire,entre 10000 et 30000,,5711,36
67,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,3872,18
25,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,4933,39
60,homme,qualifié,propriétaire,entre 10000 et 30000,,1940,24
31,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,1410,12
23,femme,non qualifié,propriétaire,entre 3000 et 10000,entre 500 et 3000,836,12
60,homme,hautement qualifié,propriétaire,,entre 500 et 3000,6468,20
35,homme,non qualifié,propriétaire,entre 10000 et 30000,entre 500 et 3000,1941,18
40,homme,qualifié,propriétaire,plus de 30000,,2675,22
38,homme,qualifié,propriétaire,,,2751,48
50,homme,qualifié,gratuit,moins de 3000,entre 500 et 3000,6224,48
27,homme,qualifié,propriétaire,moins de 3000,moins de 500,5998,40
39,femme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,1188,21
41,homme,hautement qualifié,propriétaire,,,6313,24
27,homme,qualifié,propriétaire,,,1221,6
51,homme,qualifié,gratuit,moins de 3000,plus de 3000,2892,24
32,homme,qualifié,location,plus de 30000,,3062,24
22,femme,qualifié,location,entre 3000 et 10000,,2301,9
51,homme,qualifié,gratuit,,moins de 500,7511,18
22,femme,non qualifié,location,moins de 3000,,1258,12
54,homme,qualifié,propriétaire,,,717,24
35,homme,non qualifié,propriétaire,,entre 500 et 3000,1549,9
54,homme,qualifié,gratuit,moins de 3000,,1597,24
48,femme,non qualifié,location,moins de 3000,entre 500 et 3000,1795,18
24,femme,qualifié,propriétaire,moins de 3000,moins de 500,4272,20
35,homme,qualifié,propriétaire,,,976,12
24,femme,non qualifié,location,,entre 500 et 3000,7472,12
24,homme,qualifié,propriétaire,moins de 3000,moins de 500,9271,36
26,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,590,6
65,homme,qualifié,propriétaire,,,930,12
55,homme,hautement qualifié,gratuit,moins de 3000,entre 500 et 3000,9283,42
26,femme,non qualifié,location,moins de 3000,entre 500 et 3000,1778,15
26,homme,qualifié,propriétaire,moins de 3000,entre 500 et 3000,907,8
28,homme,non qualifié,propriétaire,moins de 3000,entre 500 et 3000,484,6
24,homme,qualifié,propriétaire,moins de 3000,moins de 500,9629,36
54,homme,qualifié,propriétaire,moins de 3000,moins de 500,3051,48
46,homme,qualifié,gratuit,moins de 3000,moins de 500,3931,48
54,femme,qualifié,location,moins de 3000,entre 500 et 3000,7432,36
62,homme,qualifié,propriétaire,plus de 30000,,1338,6
24,femme,qualifié,location,moins de 3000,,1554,6
43,homme,hautement qualifié,propriétaire,moins de 3000,moins de 500,15857,36
26,homme,qualifié,propriétaire,moins de 3000,moins de 500,1345,18
27,homme,qualifié,propriétaire,moins de 3000,,1101,12
24,homme,qualifié,propriétaire,moins de 3000,plus de 3000,3016,12
41,homme,qualifié,propriétaire,moins de 3000,moins de 500,2712,36
47,homme,non qualifié,propriétaire,moins de 3000,moins de 500,731,8
35,homme,hautement qualifié,propriétaire,moins de 3000,,3780,18
30,homme,qualifié,propriétaire,moins de 3000,moins de 500,1602,21
33,femme,qualifié,location,moins de 3000,moins de 500,3966,18
36,homme,qualifié,propriétaire,moins de 3000,,4165,18
47,homme,qualifié,gratuit,,moins de 500,8335,36
38,homme,qualifié,gratuit,,entre 500 et 3000,6681,48
44,homme,qualifié,propriétaire,plus de 30000,,2375,24
23,femme,qualifié,location,moins de 3000,moins de 500,1216,18
29,homme,qualifié,location,moins de 3000,moins de 500,11816,45
42,femme,qualifié,propriétaire,,entre 500 et 3000,5084,24
25,femme,non qualifié,propriétaire,moins de 3000,plus de 3000,2327,15
48,homme,qualifié,propriétaire,moins de 3000,moins de 500,1082,12
21,femme,qualifié,propriétaire,,,886,12
23,femme,non qualifié,location,moins de 3000,,601,4
63,homme,qualifié,propriétaire,moins de 3000,moins de 500,2957,24
46,homme,qualifié,propriétaire,moins de 3000,,2611,24
29,homme,qualifié,propriétaire,moins de 3000,moins de 500,5179,36
28,homme,non qualifié,propriétaire,moins de 3000,,2993,21
23,femme,qualifié,propriétaire,moins de 3000,,1943,18
50,homme,qualifié,propriétaire,moins de 3000,,1559,24
47,homme,qualifié,propriétaire,moins de 3000,,3422,18
35,homme,qualifié,propriétaire,,entre 500 et 3000,3976,21
68,homme,qualifié,location,,,6761,18
28,homme,qualifié,propriétaire,moins de 3000,,1249,24
59,homme,qualifié,propriétaire,moins de 3000,moins de 500,1364,9
57,homme,non qualifié,propriétaire,moins de 3000,moins de 500,709,12
33,homme,qualifié,location,moins de 3000,moins de 500,2235,20
43,homme,qualifié,propriétaire,,,4042,24
35,homme,qualifié,gratuit,moins de 3000,,1471,15
32,homme,non qualifié,gratuit,moins de 3000,moins de 500,1442,18
45,homme,qualifié,propriétaire,moins de 3000,,10875,36
33,homme,qualifié,propriétaire,entre 3000 et 10000,,1474,24
40,femme,qualifié,propriétaire,,,894,10
28,homme,qualifié,gratuit,moins de 3000,,3343,15
